FIPS,year,adult,child,men,women,adult.ai,adult.blk,adult.wht,child.ai,child.blk,child.wht,pop.density,child.pov,child.pov.se,median.hh.income,blk.chpov_pe,blk.chpov_se,ai.chpov_pe,ai.chpov_se,aa.chpov_pe,aa.chpov_se,wht.chpov_pe,wht.chpov_se,state,county,infmort,wht.infmort,nonwht.infmort,arrest.female,arrest.male,drug.female,drug.male,qol.female,qol.male,viol.female,viol.male,arrest.ai,arrest.all,arrest.blk,arrest.wht,drug.ai,drug.all,drug.blk,drug.wht,qol.ai,qol.all,qol.blk,qol.wht,viol.ai,viol.all,viol.blk,viol.wht,officers,MURDER_mav,stname,pol.infl.pc
1015,2012,90966,26320,42964,48002,485,18227,69174,120,6826,17780,193.5827817849,8212,705.7750759878,39212,3494,236.269357556,2,23.4101757009,0,28.4287974495,3526,289.3067813324,1,Calhoun,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AL,242.3808685952
1043,2012,62156,18218,30336,31820,394,792,58737,126,390,16267,109.3761907354,4607,484.4984802432,37938,87,34.9742245924,0,28.4287974495,0,28.4287974495,3244,282.8152737726,1,Cullman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AL,242.3808685952
1055,2012,80777,23458,38368,42409,428,11973,65817,149,4491,17258,194.8354174844,7270,723.4042553191,35737,2370,184.9513477755,0,28.4287974495,0,28.4287974495,3650,310.8458196065,1,Etowah,11.3,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AL,242.3808685952
1073,2012,505125,152579,233269,271856,1853,207080,274255,606,75473,66049,591.8436397668,42170,2300.3039513678,43967,30027,812.7489068921,47,39.2179723192,94,43.1096915538,6268,394.7709318757,1,Jefferson,10.8,6.7,15.2,184,490,68,213,28,127,88,150,1,736,269,400,1,306,129,150,0,164,34,119,0,266,106,131,2155,87.4,AL,242.3808685952
1081,2012,115603,32296,56523,59080,494,25613,82696,146,9321,20304,243.43911512,6687,747.7203647416,43182,3852,339.4084894455,0,28.4287974495,63,39.0337939372,3002,322.7803246182,1,Lee,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AL,242.3808685952
1089,2012,263969,78727,127548,136421,2385,63697,181612,857,22438,48508,427.520303397,13621,1417.0212765957,57072,7761,498.2926476275,77,42.3398909407,315,84.4612981542,4186,309.5156344009,1,Madison,7.9,5.8,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AL,242.3808685952
1095,2012,70851,23377,34391,36460,826,1515,61912,327,910,17261,166.5276403224,8359,659.5744680851,36960,274,65.3290418111,22,12.4434586568,3,23.3390320006,4069,257.4028448483,1,Marshall,8,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AL,242.3808685952
1097,2012,312973,100777,147045,165928,3156,104351,192927,1099,43129,51780,336.5353331598,31097,2182.3708206687,39546,18029,661.9605824475,165,89.2313421719,417,119.4432194824,7295,456.6009204443,1,Mobile,8.3,5.8,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AL,242.3808685952
2020,2012,223057,75556,113356,109701,19371,15282,151680,9488,7984,40504,175.1724663867,9446,816.4133738602,71094,1149,191.3735356751,739,154.7766207474,1959,304.5707973964,1914,222.8359498228,2,Anchorage (B),4.9,4.1,6.2,1689,3770,155,499,591,1015,943,2256,1857,6246,737,2520,106,828,99,410,586,1921,206,717,1165,3497,432,1393,882,12.8,AK,463.9617953225
2050,2012,11328,6363,5929,5399,9199,109,1754,5736,77,482,0.4360611289,2221,252.2796352584,41722,0,14.7408579368,1802,74.9990376351,0,14.7408579368,5,9.9517966831,2,Bethel (CA),NA,NA,NA,98,223,0,3,53,93,45,127,303,333,5,13,3,3,0,0,139,153,2,5,161,177,3,8,13,1,AK,463.9617953225
2110,2012,25066,7377,12698,12368,3334,449,18460,1509,182,4566,12.0073428993,798,100.3039513678,76967,3,15.8987195509,375,128.799369682,7,16.8576591172,172,54.3486804539,2,Juneau (B),NA,NA,NA,101,365,4,21,30,121,67,223,238,552,12,196,6,36,1,16,80,203,3,62,152,313,8,118,48,0.2,AK,463.9617953225
2170,2012,67442,26349,34891,32551,4534,1056,58550,2724,641,21143,3.8114182844,3236,404.2553191489,68109,68,24.3009071019,259,44.7087562509,25,19.386284157,2379,198.0354544591,2,Matanuska-Susitna (B),NA,NA,NA,84,289,28,93,42,108,14,88,55,461,10,300,9,156,3,108,30,197,2,116,16,108,5,76,36,0.2,AK,463.9617953225
4003,2012,102423,29465,52475,49948,1966,5137,64423,753,2030,12977,21.3906310567,8272,855.3191489362,43017,167,72.6284781218,170,53.6781901972,37,30.8895951755,2066,249.5764651757,4,Cochise,6.1,6.1,NA,506,1338,172,421,194,540,140,377,27,2357,137,1657,7,696,34,546,12,1003,52,662,8,658,51,449,227,5.6,AZ,309.2416016807
4005,2012,105345,30633,51506,53839,26395,1839,63771,12546,732,12250,7.3032280657,9189,823.1003039514,45509,49,34.0316960542,4424,294.5017412164,194,95.9832026768,1118,180.8130020483,4,Coconino,5.2,NA,NA,1071,3410,130,509,677,2102,264,799,2014,5123,178,2261,161,763,40,433,1337,3191,91,1329,516,1169,47,499,222,4.8,AZ,309.2416016807
4013,2012,2936053,1009407,1434557,1501496,76883,165253,1874547,40228,79974,449871,428.847821881,252110,6035.8662613982,51442,17948,740.2171287007,8415,414.7986352639,3746,311.9009071569,46472,1270.2105475978,4,Maricopa,5.9,5.3,9.8,12152,38506,2713,10840,5330,15049,4109,12617,3098,61562,7150,39932,310,15623,1751,11381,1624,26599,2483,16084,1164,19340,2916,12467,8120,217,AZ,309.2416016807
4015,2012,163406,39826,82156,81250,4451,2260,134787,2037,922,27177,15.2678820952,13436,1294.8328267477,34966,208,89.394779148,324,55.8311587051,12,28.5843597459,7345,489.5463036058,4,Mohave,6.1,5.4,NA,966,2579,308,710,385,1144,273,725,104,4517,82,3346,24,1178,25,963,55,2154,41,1429,25,1185,16,954,353,11.4,AZ,309.2416016807
4017,2012,76470,30563,37945,38525,32239,970,36291,16487,613,10319,10.7566313784,11634,865.6534954407,34662,59,35.9537339395,8082,247.7574701358,0,30.5346342976,2031,257.8124030205,4,Navajo,7.2,NA,9,490,1506,98,307,236,747,156,452,798,2316,53,1139,35,477,16,351,519,1164,19,443,244,675,18,345,188,4.6,AZ,309.2416016807
4019,2012,771485,221488,375233,396252,30688,31924,465340,15185,14149,82535,108.0841054355,63385,3094.2249240122,44745,3370,312.9099245961,5329,319.6123426794,556,99.3135221975,11699,633.8230757226,4,Pima,6,5.8,7,4693,14703,1275,4579,2032,6417,1386,3707,1126,24419,1915,16208,166,7124,617,5040,652,10823,743,6988,308,6472,555,4180,1922,72,AZ,309.2416016807
4021,2012,286087,96262,151827,134260,19600,14259,180019,8955,6444,45619,71.2591858148,22837,2041.9452887538,50362,891,245.793501832,3986,319.447537255,273,99.8849126642,7503,717.3976059513,4,Pinal,5.7,5.1,NA,920,2815,120,518,466,1244,334,1053,427,4791,367,2904,31,873,74,531,288,2189,134,1273,108,1729,159,1100,640,14.2,AZ,309.2416016807
4025,2012,173930,38538,84156,89774,3573,1497,149362,1698,781,26028,26.154736259,9704,1169.6048632219,43397,108,72.5062593089,599,110.8668603412,0,30.5346342976,3937,440.0010750408,4,Yavapai,5.2,5.2,NA,842,2271,167,555,413,999,262,717,70,4049,53,2974,11,906,20,689,32,1955,20,1350,27,1188,13,935,378,8.8,AZ,309.2416016807
4027,2012,147965,54410,75726,72239,3382,4349,60015,1588,1688,10321,36.702097755,17170,1607.2948328268,39072,300,98.9481921363,373,87.2695139854,38,19.6982999952,1012,134.6981328589,4,Yuma,6.9,6.2,NA,485,1805,100,417,181,702,204,686,77,2903,123,2074,6,701,25,486,32,1095,53,793,39,1107,45,795,341,8.8,AZ,309.2416016807
5007,2012,169198,63775,82679,86519,3377,2912,135501,1651,1797,43652,274.9398130665,12000,1002.4316109423,52717,162,64.9546277552,199,73.0116240089,196,76.8438111627,5220,410.0194671621,5,Benton,6.3,5.9,NA,629,2038,223,743,188,577,218,718,27,3061,89,2490,3,1064,36,905,13,941,13,717,11,1056,40,868,433,3,AR,200.336312227
5009,2012,28780,8548,13915,14865,261,137,27712,99,89,8052,63.2431425038,2404,261.3981762918,35848,0,25.2700421773,0,25.2700421773,2,20.7756929977,1883,227.3995048919,5,Boone,NA,NA,NA,151,499,53,124,47,201,51,174,0,719,6,622,0,187,2,174,0,290,4,232,0,242,0,216,52,1.8,AR,200.336312227
5031,2012,75154,24799,35894,39260,421,8984,62339,171,5281,17383,141.3342571513,6069,629.7872340426,42437,2761,251.4866505912,163,86.9343421496,7,24.3313022446,3073,323.6977894067,5,Craighead,8.3,NA,NA,446,1444,201,653,108,339,137,452,1,2088,726,1136,0,892,356,490,1,490,109,321,0,706,261,325,217,3.4,AR,200.336312227
5033,2012,46048,15868,22465,23583,1206,679,41227,527,468,13126,104.395622924,5139,436.4741641337,39367,40,41.7067354141,9,24.9388346465,27,27.097737493,2995,323.5693296285,5,Crawford,NA,NA,NA,170,506,45,121,75,197,50,188,3,809,35,622,0,198,10,148,2,333,11,253,1,278,14,221,86,0.6,AR,200.336312227
5035,2012,35904,14146,16543,19361,115,17278,17654,50,8701,4952,82.0814746786,4967,593.9209726444,36588,3979,256.1096461451,16,23.3548604405,0,25.2700421773,513,118.1428899473,5,Crittenden,15.3,NA,19.3,408,1287,72,321,136,411,200,555,0,1940,1161,524,0,435,254,137,0,607,352,189,0,898,555,198,149,6,AR,200.336312227
5045,2012,89882,28684,43398,46484,659,9253,75845,243,3984,22517,183.006112243,4734,611.5501519757,49843,1090,163.0483078575,66,50.9986557597,8,18.468641375,2906,268.3826894982,5,Faulkner,7.8,NA,NA,304,1099,76,332,102,343,126,424,7,1598,413,970,1,460,151,249,2,509,96,343,4,629,166,378,211,4.2,AR,200.336312227
5051,2012,76670,20128,36510,40160,642,5896,66632,186,2746,15263,142.8162530615,6369,663.829787234,39617,1406,164.6866741709,69,47.0015362434,38,39.7095914749,3539,317.2128275702,5,Garland,NA,NA,NA,446,1644,52,127,278,1046,116,471,0,2328,528,1559,0,202,49,130,0,1479,304,1018,0,647,175,411,150,7.2,AR,200.336312227
5055,2012,32316,10852,15661,16655,177,252,31213,42,216,10099,74.7239051411,2779,335.5623100304,38771,2,20.8555827336,10,23.0762953144,0,25.2700421773,2201,235.5879974228,5,Greene,NA,NA,NA,107,306,34,104,35,72,38,130,0,445,25,381,0,141,10,128,0,118,6,97,0,186,9,156,62,1.4,AR,200.336312227
5063,2012,28030,8907,13592,14438,198,582,25774,68,334,7558,48.3500229073,2316,285.7142857143,37818,149,52.842100455,39,41.3775953197,0,25.2700421773,1948,203.2596226077,5,Independence,NA,NA,NA,71,270,23,53,13,40,35,177,0,374,30,307,0,83,6,69,0,57,3,50,0,234,21,188,60,1.2,AR,200.336312227
5069,2012,57070,17547,27463,29607,210,30258,25400,71,11548,5374,85.6927935688,5985,666.8693009119,36346,5306,295.5664110323,0,28.4287974495,0,28.4287974495,1145,178.3560105305,5,Jefferson,NA,NA,NA,335,1097,38,210,93,384,204,503,2,1592,1097,325,0,259,196,51,2,502,364,106,0,831,537,168,255,14,AR,200.336312227
5085,2012,51176,18926,24805,26371,344,3043,45740,133,1357,16259,90.9553280656,3363,427.3556231003,51212,489,97.8402409178,44,28.3441780593,0,28.4287974495,2240,223.9575061286,5,Lonoke,NA,NA,NA,147,437,53,157,29,67,65,213,0,654,83,497,0,242,26,182,0,114,17,79,0,298,40,236,97,1,AR,200.336312227
5091,2012,33066,10571,16025,17041,253,7629,24327,92,3283,6733,69.7544678538,3323,379.9392097264,38225,1800,151.235889366,3,20.9528120846,2,20.7756929977,1052,161.5489367375,5,Miller,NA,NA,NA,247,803,26,111,121,398,100,294,3,1172,445,600,0,140,56,81,2,574,191,325,1,458,198,194,107,1.2,AR,200.336312227
5093,2012,33074,12476,15820,17254,120,10584,21289,75,5342,6352,50.5790776952,4331,516.717325228,34058,2771,258.0989218218,0,25.2700421773,3,21.0671409741,1933,247.9676912536,5,Mississippi,NA,NA,NA,309,698,36,135,156,279,117,284,2,1161,660,340,1,201,84,85,0,507,301,132,1,453,275,123,108,8.8,AR,200.336312227
5115,2012,48282,14319,23855,24427,555,1427,43047,192,681,11580,77.0426435296,3562,442.5531914894,40206,357,117.6162194505,14,27.7446169173,0,28.4287974495,2561,274.0724612371,5,Pope,NA,NA,NA,113,419,26,85,51,219,36,115,0,603,57,473,0,143,17,94,0,289,21,248,0,171,19,131,118,0.4,AR,200.336312227
5119,2012,296034,92950,139577,156457,1768,98601,175761,609,42445,40277,511.9827313889,25453,1860.1823708207,44819,15239,687.5898598815,27,25.546384668,186,53.2912655172,4621,425.9685124553,5,Pulaski,8,4.8,12,1512,5425,370,1527,637,2349,505,1549,3,7906,3309,2956,1,2042,1065,818,1,3369,973,1373,1,2495,1271,765,1675,50.8,AR,200.336312227
5123,2012,21342,6556,11902,9440,161,10567,9611,30,4199,2175,43.9497770846,2777,379.3313069909,32932,1667,184.395047696,0,22.1112869051,0,22.1112869051,470,104.2052393299,5,St. Francis,NA,NA,NA,129,318,8,42,87,208,34,68,0,629,404,39,0,56,43,7,0,419,265,26,0,154,96,6,51,2.6,AR,200.336312227
5129,2012,6379,1612,3155,3224,85,31,6155,30,29,1512,11.9968772989,716,91.1854103343,26330,0,16.8466947849,3,14.087088421,0,16.8466947849,391,68.2423282418,5,Searcy,NA,NA,NA,9,26,4,11,1,3,4,12,0,37,0,35,0,15,0,15,0,4,0,4,0,18,0,16,8,0.2,AR,200.336312227
5143,2012,158057,53580,78321,79736,2440,5105,124924,1087,2646,33234,224.6748834889,12947,1083.8905775076,41856,1110,167.0903358892,355,104.9420434129,138,62.1221870192,4460,397.0689258273,5,Washington,6.1,5.5,NA,861,3381,229,710,301,1554,331,1117,23,4627,315,3642,5,1023,71,852,15,1949,102,1551,3,1655,142,1239,477,3.2,AR,200.336312227
5145,2012,60017,18663,29075,30942,418,2495,54909,182,1300,15862,76.0134482359,4625,520.3647416413,40950,425,104.2548760702,0,28.4287974495,4,23.4968365837,2728,251.152865127,5,White,NA,NA,NA,100,370,17,91,31,112,52,167,0,518,41,422,0,117,19,88,0,151,7,132,0,250,15,202,133,3.8,AR,200.336312227
6001,2012,1215255,341697,587909,627346,16923,162139,458311,5891,51215,89766,2106.7792481936,58641,2880.2431610942,70209,12868,569.708333532,411,88.9617416653,6124,332.7333285501,5315,443.3866029525,6,Alameda,4.2,3.8,4.6,4011,14730,1645,5292,857,4321,1509,5117,82,20022,6249,11239,17,7174,1879,4648,32,5425,1279,3574,33,7423,3091,3017,2788,140.6,CA,394.1684953457
6007,2012,175701,45504,86229,89472,4493,3703,139838,2011,1784,28885,135.172873153,12092,1065.6534954407,40748,232,82.9313914686,215,81.1180089346,1051,171.8570170372,4365,338.8947345101,6,Butte,5.1,4.8,NA,1367,4048,554,1129,514,1970,299,949,144,5909,276,4907,23,1796,66,1561,99,2657,119,2233,22,1456,91,1113,271,8.6,CA,394.1684953457
6013,2012,819630,259660,393661,425969,9543,82304,423179,3835,32374,99946,1507.5145961952,37201,2496.6565349544,74208,6652,467.3534723469,171,59.1917487671,2297,243.8902441609,5659,456.6069904597,6,Contra Costa,4.7,4.2,5.9,2247,8829,957,3750,400,1849,890,3230,11,12340,3071,7778,3,4949,1091,3549,3,2597,467,1735,5,4794,1513,2494,1772,69.8,CA,394.1684953457
6017,2012,141419,39160,70209,71210,2242,1573,118287,811,748,28253,105.7328383727,4724,572.6443768997,68446,102,57.2236381738,173,80.3743056539,16,29.8368174877,2562,306.2309653284,6,El Dorado,NA,NA,NA,656,1829,306,722,121,489,229,618,33,2847,55,2360,6,1138,24,980,16,708,9,578,11,1001,22,802,210,4.2,CA,394.1684953457
6019,2012,670690,277023,331078,339612,21500,40409,251908,10646,20693,58019,159.0658930277,110042,3719.1489361702,41563,7527,419.0800510301,964,133.967750634,9691,489.4945920113,8736,511.9003076418,6,Fresno,6.7,6,9.5,2946,13156,1236,5420,522,2811,1188,4925,88,18298,2000,13367,28,7185,637,5621,20,4170,348,2879,40,6943,1015,4867,2079,65.4,CA,394.1684953457
6023,2012,108342,26361,53967,54375,6954,2003,88624,3197,816,17533,37.7531887701,7067,680.2431610942,39837,105,55.3325078229,938,119.1566897794,536,98.196521766,2710,264.4593499846,6,Humboldt,NA,NA,NA,1022,3546,286,806,512,2096,224,644,333,4855,151,4016,57,1176,34,980,219,2710,70,2283,57,969,47,753,295,4.4,CA,394.1684953457
6025,2012,126685,50872,64992,61693,3574,5589,19662,1685,1320,4153,42.5123306038,16597,1466.8693009119,38185,293,87.5801992144,329,82.147883012,94,40.3878060593,473,114.5231317812,6,Imperial,3.7,3.6,NA,734,2789,423,1525,73,376,238,888,119,3815,177,3213,23,2009,82,1836,29,573,19,400,67,1233,76,977,329,4,CA,394.1684953457
6029,2012,601843,254733,310021,291822,17734,39784,259709,8382,19359,69548,105.3350254306,84192,3699.0881458967,45599,7088,465.7808519008,1045,224.7251236003,1350,200.2658961779,12134,647.0721290153,6,Kern,6.3,6.1,7.8,3447,13769,1601,5572,510,2699,1336,5498,58,18417,2388,14613,12,7326,667,6432,21,3704,396,2780,25,7387,1325,5401,1463,63.4,CA,394.1684953457
6031,2012,109620,41581,63357,46263,3497,9696,43312,1731,2827,10985,108.8231060442,11586,1050.4559270517,45464,650,108.8723081372,254,67.6959132514,86,40.547613728,2117,227.4774960644,6,Kings,5.2,5.3,NA,933,2595,564,1209,160,723,209,663,107,4234,297,3073,49,1885,93,1603,32,1209,74,767,26,1140,130,703,234,5.2,CA,394.1684953457
6037,2012,7626796,2343640,3713836,3912960,125365,739588,2387758,45927,234548,437508,2457.0554082427,633448,11319.1489361702,52929,56903,1226.066276372,4476,351.8575482488,27668,859.0820720098,36581,971.7619477335,6,Los Angeles,4.8,4.4,6,20530,85104,9164,35667,3577,18863,7789,30574,55,116625,24202,80169,9,46392,9897,34501,31,27222,3486,18599,15,43011,10819,27069,23895,658,CA,394.1684953457
6039,2012,109261,42899,51918,57343,5098,5107,47775,2453,1579,9964,71.2002882451,14991,1272.3404255319,42054,492,122.7993619662,154,61.4613416093,163,71.1687702318,1584,221.2649049986,6,Madera,5.8,5.8,NA,289,1291,113,472,59,300,117,519,28,1832,116,1411,4,652,51,521,8,444,14,329,16,736,51,561,143,6,CA,394.1684953457
6041,2012,203098,52923,98373,104725,2399,6757,154966,850,2000,35130,492.0547365993,5377,631.0030395137,88654,348,107.1944733286,118,57.763556413,290,103.9833577397,1420,212.6052367349,6,Marin,NA,NA,NA,639,2436,217,826,194,889,228,721,29,3515,382,2608,13,1118,119,894,14,1271,79,971,2,1126,184,743,471,3,CA,394.1684953457
6045,2012,68279,19243,33798,34481,4219,862,50802,2141,462,9581,24.961070518,5900,545.2887537994,41088,4,24.346485586,598,134.8064579641,153,47.2133442892,1730,243.9932569088,6,Mendocino,NA,NA,NA,698,2023,339,700,182,788,177,535,248,2910,90,2366,77,1083,37,921,93,1047,22,850,78,780,31,595,173,5.8,CA,394.1684953457
6047,2012,181890,79898,91038,90852,4893,8687,66178,2371,3976,16516,135.2930536391,28282,1639.5136778116,42552,903,143.4508776684,210,71.4253378302,1887,236.5054167079,3794,310.8262031386,6,Merced,5.4,5.3,NA,724,2956,279,989,135,693,310,1274,11,4416,427,3120,7,1408,128,1082,1,1057,56,748,3,1951,243,1290,298,22,CA,394.1684953457
6053,2012,313513,112928,161013,152500,8744,13728,119994,4185,4280,21427,129.9887215753,30270,1889.9696048632,56038,613,138.6444769862,232,75.0876773691,447,104.4832550428,1579,184.5903438247,6,Monterey,4.8,4.7,NA,980,4017,353,1278,211,1189,416,1550,10,5788,350,4468,2,1775,119,1445,3,1645,73,1291,5,2368,158,1732,672,42,CA,394.1684953457
6057,2012,80285,18003,39288,40997,1132,577,71886,437,293,14343,102.6217150255,3106,383.5866261398,54230,0,29.4817158735,7,24.5580667194,4,24.8274502817,2178,248.6173552531,6,Nevada,NA,NA,NA,330,927,161,384,81,357,88,186,10,1447,13,1224,1,604,6,537,9,489,2,421,0,354,5,266,116,1.2,CA,394.1684953457
6059,2012,2359635,729708,1153101,1206534,28308,53013,1128542,11017,19962,244740,3907.7412499842,130230,5218.8449848024,71866,2152,269.8300769625,690,146.8874664182,13411,565.4090238999,14089,651.8560053398,6,Orange,4.1,4.3,3.2,7025,24845,3654,10869,1272,6778,2099,7198,49,35736,1331,28824,23,15464,500,13294,11,9828,246,7468,15,10444,585,8062,4719,66.4,CA,394.1684953457
6061,2012,275714,85501,133041,142673,3501,5053,218589,1495,2498,58915,256.7252542626,9794,956.2310030395,69521,229,82.3366050136,17,29.8368174877,207,66.3728462378,3951,297.5986584665,6,Placer,4,4.2,NA,959,2513,453,1056,203,726,303,731,28,3788,186,3189,6,1591,68,1406,9,1047,36,865,13,1150,82,918,441,4,CA,394.1684953457
6065,2012,1651824,615732,814759,837065,33918,122108,731804,16261,52949,166381,314.655143704,151799,5060.7902735562,52416,11293,550.5763363595,1716,230.7277194691,2299,229.8957624735,15785,673.7421972327,6,Riverside,5.1,4.8,7.2,5248,18313,2488,7279,1100,5195,1660,5839,149,26403,2983,20144,63,10308,798,8788,44,7567,799,5396,42,8528,1386,5960,2957,85.4,CA,394.1684953457
6067,2012,1088184,360282,524447,563737,20063,124606,577696,8929,56293,138112,1501.5612041798,95891,3411.5501519757,52617,15714,611.7268774845,652,109.0452802472,11316,608.7659524691,18899,666.0320085223,6,Sacramento,5.4,4.4,7.3,3293,12864,1079,4048,813,3671,1401,5145,65,17574,5037,10326,6,5540,1478,3370,28,4790,1007,3297,31,7244,2552,3659,3005,81.4,CA,394.1684953457
6071,2012,1495678,583848,735876,759802,34587,149285,552910,15655,67062,131971,103.6811198518,162732,5673.556231003,50603,18797,882.4241649818,1173,186.23465171,4858,610.2211110884,19188,787.8656325007,6,San Bernardino,6.2,5.6,9,7564,25578,3611,10308,1256,6175,2697,9095,84,37244,5403,27412,19,14609,1507,12304,33,9635,1132,6218,32,13000,2764,8890,2977,110.6,CA,394.1684953457
6073,2012,2457628,726730,1227795,1229833,36014,145743,1299003,14112,55603,268633,756.985520476,142756,5643.1610942249,60235,10874,545.3405958827,1084,174.8922541475,7213,419.488567268,24809,815.3811425055,6,San Diego,4.4,4.1,5.7,9208,31439,3541,10611,2308,10506,3359,10322,291,45860,6193,32727,84,14978,2102,11432,85,15511,1370,11038,122,15371,2721,10257,5348,84.2,CA,394.1684953457
6075,2012,718359,111158,365257,353102,7098,45176,322888,1549,10041,36399,17698.2504800512,17679,1642.5531914894,72093,3525,298.9503475776,67,42.812928539,4473,360.8065334357,1069,154.5615867463,6,San Francisco,3.5,3,4.4,1355,5760,297,1324,472,2102,586,2334,25,7440,2381,4258,3,1659,762,775,12,2606,584,1843,10,3175,1035,1640,3118,62,CA,394.1684953457
6077,2012,501953,199511,246556,255397,11419,43117,205632,5572,21341,50027,504.1715780697,48563,3320.9726443769,50431,5482,332.9964453367,266,69.0819342047,6612,452.3911520524,5506,457.3893469853,6,San Joaquin,5.7,4.8,8.3,1909,7688,386,1738,631,2690,892,3260,43,11778,1818,7414,5,2418,318,1750,24,4165,469,2717,14,5195,1031,2947,879,65,CA,394.1684953457
6079,2012,223783,50769,114375,109408,3566,6157,167070,1133,1269,29341,83.2336436698,8239,891.1854103343,58427,221,77.0527208672,44,33.1850311586,133,53.4712573135,2697,301.6459682903,6,San Luis Obispo,5,5.1,NA,1287,5335,416,1098,605,2566,266,1671,23,6912,364,6096,4,1574,32,1448,15,3292,97,3011,4,2046,235,1637,473,5,CA,394.1684953457
6081,2012,578540,162105,281247,297293,5534,20089,259819,2039,6479,58515,1651.7138333222,17685,1525.8358662614,81568,695,159.7234794203,73,44.6467210382,2402,250.5805751144,1685,190.9879090627,6,San Mateo,3.2,3.2,3.2,1338,5853,569,2026,363,2205,406,1622,15,7955,923,5553,6,2773,406,1883,7,2871,223,2191,2,2311,294,1479,1108,16,CA,394.1684953457
6083,2012,333081,97792,166171,166910,7812,9411,177822,3174,3033,29517,157.5352182195,20168,1737.9939209726,60683,290,84.6252138318,371,88.3071578019,513,118.0787494426,2327,258.496655442,6,Santa Barbara,4.6,4.6,NA,2151,7647,823,2543,889,3384,439,1720,24,10648,596,9034,5,3527,178,3145,14,4662,271,3920,5,2459,147,1969,736,10.4,CA,394.1684953457
6085,2012,1407287,434031,702839,704448,20678,44905,541559,8298,16132,117454,1427.2676536703,54064,3102.1276595745,91195,2235,251.9234311025,368,80.4294604421,7941,361.6510397882,4315,318.8564298582,6,Santa Clara,3.3,3.5,2.9,2842,12076,1044,4134,638,3604,1160,4338,60,18137,1609,11976,13,5735,522,4147,19,5391,416,3550,28,7011,671,4279,3074,46.4,CA,394.1684953457
6087,2012,211668,54929,104491,107177,4168,3818,136837,1567,1371,23826,598.8656019049,9632,1174.4680851064,65799,37,28.732649965,15,27.5373900375,52,30.8776294205,1331,190.3716111192,6,Santa Cruz,3.4,3.6,NA,1361,5040,568,1746,498,2295,295,999,9,6811,291,5994,5,2402,101,2189,4,2961,131,2592,0,1448,59,1213,337,10.4,CA,394.1684953457
6089,2012,139416,39005,67492,71924,4664,1683,120175,2146,1206,29250,47.2588335011,9835,1048.632218845,44477,78,51.0674481277,263,80.619913192,198,66.872064049,5502,378.7097432733,6,Shasta,5.6,5.4,NA,759,2211,352,765,253,870,154,576,115,3376,132,2688,36,1195,47,1017,51,1297,36,1025,28,884,49,646,271,4.6,CA,394.1684953457
6095,2012,321465,98895,158901,162564,4751,52090,145826,1935,18925,31382,511.5362149533,18281,1271.1246200608,61976,4190,358.4832893625,78,31.429218127,811,126.8449912118,2924,302.5609535395,6,Solano,5.8,4.9,7.5,1231,4227,355,1308,314,1217,562,1702,12,6355,1911,3268,4,1811,509,1070,3,1806,477,982,5,2738,925,1216,489,27.4,CA,394.1684953457
6097,2012,386523,104223,187539,198984,8797,8420,276549,3789,3778,52108,311.4166957515,15771,1430.3951367781,59855,155,69.1460970057,245,89.1339653342,410,98.834216935,3510,312.6848636972,6,Sonoma,3.8,3.8,NA,1609,5479,729,2127,372,1599,508,1753,104,7996,424,6448,27,3109,176,2621,49,2303,88,1805,28,2584,160,2022,583,8.4,CA,394.1684953457
6099,2012,376671,145426,183587,193084,8253,13365,195833,3685,6912,49142,349.2684786899,39172,2460.1823708207,46324,1605,248.4210724934,486,106.2091502107,1476,161.9647295212,7433,444.5007914647,6,Stanislaus,6.1,5.8,NA,1707,6528,655,2565,409,1683,643,2280,39,9069,630,7404,14,3351,204,2935,12,2416,150,1890,13,3302,276,2579,783,35.6,CA,394.1684953457
6103,2012,47845,15377,23628,24217,1741,524,36847,768,321,8948,21.4332934424,4876,471.7325227964,38577,35,43.7014000136,179,74.1990052056,0,29.4817158735,2398,248.7756068726,6,Tehama,NA,NA,NA,435,1285,168,444,154,580,113,261,39,1928,34,1623,6,661,17,576,26,836,7,695,7,431,10,352,108,1.8,CA,394.1684953457
